Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,2,18,0.017500001,0.006528287,0.024285635,0.000518425,661.6799927,0.540090382
1,2,19,0.018500001,0.007068921,0.025797736,0.000544136,611.8499756,0.515576363
1,2,20,0.019500001,0.007049345,0.025559755,0.000544485,631.1400146,0.497850686
1,2,21,0.020500001,0.006668683,0.026483985,0.000526303,654.7799683,0.560351014
1,2,22,0.021500001,0.006399566,0.024722464,0.000493899,738.2600098,0.58465755
1,2,23,0.022500001,0.006163912,0.02531516,0.000446571,856.4099731,0.629462421
1,2,24,0.023500001,0.006340457,0.024701065,0.000442,973.3099976,0.636024177
1,2,25,0.024500001,0.006385548,0.025376644,0.000441973,1041.02002,0.658816278
1,2,26,0.025500001,0.006457847,0.02625142,0.000433989,1042.390015,0.669492722
1,2,27,0.026500001,0.006247457,0.025278203,0.0004301,1126.630005,0.695337057
1,2,28,0.027500001,0.006273881,0.025209896,0.00041522,1172.919922,0.690368712
1,2,29,0.028500001,0.006254312,0.025943592,0.000431377,1167.699951,0.698279321
1,2,30,0.029500001,0.006198504,0.027049229,0.000416822,1154.919922,0.678212762
1,2,31,0.030500001,0.006464465,0.026650576,0.000431482,1025.569946,0.680419862
1,2,32,0.031500002,0.006284402,0.02623402,0.000478732,943.6300049,0.677143037
1,2,33,0.032500002,0.006315745,0.025716888,0.000512854,842.6599731,0.67027241
1,2,34,0.033500002,0.00623478,0.025204727,0.000563529,720.2299805,0.676650405
1,2,35,0.034500002,0.006312326,0.025174022,0.000605908,651.3399658,0.691587746
1,2,36,0.035500002,0.006265083,0.026182784,0.000636202,507.9199829,0.677539885
1,2,37,0.036500002,0.006859308,0.025843954,0.000759078,358.7299805,0.639321446
1,2,38,0.037500002,0.006496351,0.0257718,0.000803816,269.5099792,0.595044196
1,2,39,0.038500002,0.00602042,0.025211552,0.000824852,211.1599884,0.588876844
1,2,40,0.039500002,0.005879436,0.02405506,0.000876341,170.5599976,0.531950593
1,2,41,0.040500002,0.00617196,0.025700962,0.001008612,135.2099915,0.672618508
1,2,42,0.041500002,0.006218315,0.024434259,0.001353944,95.54000092,0.70003891
1,2,43,0.042500002,0.006494056,0.024113251,0.001700764,62.21999741,0.652612925
1,2,44,0.043500002,0.005640942,0.020642402,0.00199914,48.54999924,0.608194232
1,2,45,0.044500002,0.005253526,0.021508882,0.002263349,39.36999893,0.628168881
1,2,46,0.045500002,0.004435062,0.019892069,0.003081175,34.52000046,0.604022384
1,2,47,0.046500002,0.004714127,0.015687086,0.00328162,20.07999992,0.392790288
1,2,48,0.047500002,0.003244223,0.011236053,0.00348019,18.90999985,0.513569236
1,2,49,0.048500002,0.002548452,0.00951168,0.007720763,9.679999352,0.556962967
1,3,1,0.0005,1410.535278,0.015656712,4782.033691,2.879999876,0.157455415
1,3,2,0.0015,1724.244507,0.017686287,2676.613525,10.2699995,0.625402689
1,3,3,0.0025,423.5238647,0.019715861,408.0382996,25.67000008,0.749290586
1,3,4,0.0035,363.1794128,0.019715861,222.4958191,18.02999878,0.518924117
1,3,5,0.0045,1138.226563,0.025514642,,32.79999924,0.970075905
1,3,6,0.0055,607.6883545,0.024644824,1187.227661,35.25999832,0.859544933
1,3,7,0.0065,785.4677734,0.026964339,1851.095215,51.20999908,0.934642613
1,3,8,0.0075,335.4363098,0.027834155,627.1029663,55.11999893,0.908713102
1,3,9,0.0085,153.2360687,0.028993912,344.7972412,50.38999939,0.883914352
1,3,10,0.009500001,358.415741,0.028993912,303.8796387,67.90999603,0.519765198
1,3,11,0.010500001,93.19650269,0.028993912,63.27175903,66.29999542,0.796174228
1,3,12,0.011500001,141.0338898,0.028993912,147.3530579,76.36999512,0.67461431
1,3,13,0.012500001,183.5787811,0.028993912,225.0917206,101.8299942,0.86854434
1,3,14,0.013500001,163.2173309,0.028993912,95.18710327,93.33999634,0.825984597
1,3,15,0.014500001,237.1743164,0.028993912,159.250885,114.3499985,0.813448548
1,3,16,0.015500001,173.9718933,0.028993912,141.9459534,135.1499939,0.871311069
1,3,17,0.016500001,179.5736542,0.028993912,59.3936348,140.6399994,0.775413334
1,3,18,0.017500001,278.2080688,0.028993912,484.6905823,156.5800018,0.880913556
1,3,19,0.018500001,195.1060638,0.028993912,62.88046265,164.8999939,0.796965957
1,3,20,0.019500001,199.412262,0.028993912,59.35962677,188.0599976,0.798001111
1,3,21,0.020500001,267.0431519,0.028993912,75.14174652,185.3399963,0.765892267
1,3,22,0.021500001,266.8474731,0.028993912,97.0916748,179.5999908,0.809042752
1,3,23,0.022500001,224.1350403,0.028993912,61.44003296,183.5299988,0.778705895
1,3,24,0.023500001,308.046051,0.028993912,134.4346771,170.3799896,0.793333709
1,3,25,0.024500001,314.1976624,0.028993912,97.79242706,131.0099945,0.738718391
